OBJECTID,AUN,SCHOOL_NUM,LOCATION_ID,SCHOOL_NAME,SCHOOL_NAME_LABEL,STREET_ADDRESS,ZIP_CODE,PHONE_NUMBER,ACTIVE,GRADE_LEVEL,GRADE_ORG,ENROLLMENT,TYPE,TYPE_SPECIFIC
125,126515001,3765,8260,FOX CHASE SCHOOL,FOX CHASE SCHOOL,500 RHAWN ST,19111,(215) 400-3170,,ELEMENTARY SCHOOL,K-5,528,1,DISTRICT
126,,,3369,CHRISTOPHER COLUMBUS CHARTER SCHOOL (ANNEX),CHRISTOPHER COLUMBUS CS (ANNEX),1242 S 13TH ST,19147,(215) 389-3374,O,ELEMENTARY SCHOOL,5-8,,2,CHARTER
127,226517652,,,ST FRANCIS XAVIER SCHOOL,ST FRANCIS XAVIER SCHOOL,641-51 N 24TH ST,19130,(215) 763-6564,O,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE
128,226512852,,,JOHN W HALLAHAN GIRLS SCHOOL,JOHN W HALLAHAN GIRLS SCHOOL,319 N 19TH ST,19103,(215) 563-8930,O,HIGH SCHOOL,9-12,,3,ARCHDIOCESE
129,226515602,,,ROMAN CATHOLIC HIGH SCHOOL,ROMAN CATHOLIC HIGH SCHOOL,303 N BROAD ST,19107,(215) 627-1270,O,HIGH SCHOOL,9-12,,3,ARCHDIOCESE
130,226512352,,,HOLY REDEEMER SCHOOL,HOLY REDEEMER SCHOOL,903-27 VINE ST,19107,(215) 922-0999,O,ELEMENTARY/MIDDLE,K-8,,3,ARCHDIOCESE
131,226512952,,,LITTLE FLOWER CATHOLIC SCHOOL,LITTLE FLOWER CATHOLIC SCHOOL,1001 W LUZERNE ST,19140,(215) 455-6900,O,HIGH SCHOOL,9-12,,3,ARCHDIOCESE
132,226510502,,,ARCHBISHOP RYAN ACADEMY FOR THE DEAF,ARCHBISHOP RYAN SCH HARD OF HEARING CHILDREN,4251 L STREET,19124,(215) 289-4220,O,ELEMENTARY/MIDDLE,K-8,,3,ARCHDIOCESE
133,226519442,,,ST VERONICA SCHOOL,ST VERONICA SCHOOL,3501-25 N 6TH ST,19140,(215) 225-1575,O,ELEMENTARY/MIDDLE,K-8,,3,ARCHDIOCESE
134,226517752,,,ST GEORGE SCHOOL,ST GEORGE SCHOOL,2700 E VENANGO ST,19134,(215) 634-8803,O,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE
135,226514252,,,MOTHER DIVINE GRACE SCHOOL,MOTHER DIVINE GRACE SCHOOL,2612 E MONMOUTH ST,19134,(215) 426-7325,O,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE
136,226514352,,,NAZARETH ACADEMY GRADE SCHOOL,NAZARETH ACADEMY GRADE SCHOOL,4701 GRANT AVE,19114,(215) 637-7777,O,ELEMENTARY/MIDDLE,1-8,,3,PRIVATE
137,226514402,,,NAZARETH ACADEMY HIGH SCHOOL,NAZARETH ACADEMY HIGH SCHOOL,4001 GRANT AVE,19114,(215) 637-7676,O,HIGH SCHOOL,9-12,,3,PRIVATE
138,226510512,,,BETHEL BAPTIST ACADEMY,BETHEL BAPTIST ACADEMY,2210 E SUSQUEHANNA AVE,19125,(215) 426-1909,O,ELEMENTARY/MIDDLE/HIGH,PREK-12,,3,PRIVATE
139,226511922,,,GREATER HOPE CHRISTIAN ACADEMY,GREATER HOPE CHRISTIAN ACADEMY,7029 WOODLAND AVE,19142,(215) 729-0374,O,ELEMENTARY/MIDDLE/HIGH,PREK-12,,3,PRIVATE
140,300513640,,,EASTER SEALS OF SOUTHEASTERN PA - JOSEPH X. YAFFE CENTER,EASTER SEALS OF SE PA - JOSEPH X. YAFFE CENTER,3975 CONSHOHOCKEN AVE,19131,(215) 879-1000,O,SPECIAL CENTER,UNGRADED,,3,PRIVATE
141,226510072,,,K W REED CHRISTIAN ACADEMY FOR BOYS,K W REED CHRISTIAN ACADEMY FOR BOYS,3955 CONSHOHOCKEN AVE,19131,(215) 473-3000,O,ELEMENTARY/MIDDLE,K-8,,3,PRIVATE
142,326510079,,,COMMUNITY PARTNERSHIP SCHOOL,COMMUNITY PARTNERSHIP SCHOOL,3033 W GLENWOOD AVE,19121,(215) 235-0461,O,ELEMENTARY SCHOOL,PREK-5,,3,PRIVATE
143,226510008,,,WHITE DOVE PERFORMING ARTS ACADEMY,WHITE DOVE PERFORMING ARTS ACADEMY,2510 RIDGE AVE,19121,(215) 236-7195,O,ELEMENTARY/MIDDLE/HIGH,PREK-12,,3,PRIVATE
144,226511802,,,GESU SCHOOL,GESU SCHOOL,1700 W THOMPSON ST,19121,(215) 763-3660,O,ELEMENTARY/MIDDLE,PREK-8,,3,PRIVATE
145,226515632,,,PHILADELPHIA ACADEMIC SCHOOL,PHILADELPHIA ACADEMIC SCHOOL,1421 W GIRARD AVE,19130,(215) 477-1040,O,HIGH SCHOOL,12,,3,PRIVATE
146,226510062,,,SHILOH CHRISTIAN ACADEMY,SHILOH CHRISTIAN ACADEMY,1516-34 MASTER ST,19121,(215) 763-7335 ,O,ELEMENTARY/MIDDLE,K-8,,3,PRIVATE
147,226510055,,,AL MOSHEH SHULE OF POSITIVE ED,AL MOSHEH SHULE OF POSITIVE ED,3922 CAMBRIDGE ST,19104,(215) 765-6462,O,ELEMENTARY/MIDDLE,K-4,,3,PRIVATE
148,326510060,,,HOPE PARTNERSHIP FOR EDUCATION,HOPE PARTNERSHIP FOR EDUCATION,2601 N 11TH ST,19133,(215) 232-5410,O,MIDDLE/HIGH,5-8,,3,PRIVATE
149,226510024,,,SPRING GARDEN ACADEMY,SPRING GARDEN ACADEMY,1801 SPRING GARDEN ST,19130,(215) 563-9192,O,PRE-SCHOOL,PREK-K,,3,PRIVATE
150,126515001,3803,8400,"FRANK, ANNE SCHOOL",ANNE FRANK SCHOOL,2000 BOWLER ST,19115,(215) 400-3070,,ELEMENTARY SCHOOL,K-5,1359,1,DISTRICT
151,126515001,3850,7010,FRANKFORD HIGH SCHOOL,FRANKFORD HIGH SCHOOL,5000 OXFORD AVE,19124,(215) 400-7200,,HIGH SCHOOL,9-12,902,1,DISTRICT
152,126515001,6822,2290,FRANKLIN LEARNING CENTER,FRANKLIN LEARNING CENTER,616 N 15TH ST,19130,(215) 400-7570,,HIGH SCHOOL,9-12,912,1,DISTRICT
153,126515001,3851,2010,"FRANKLIN, BENJAMIN HIGH SCHOOL",BENJAMIN FRANKLIN HIGH SCHOOL,550 N BROAD ST,19130,(215) 400-7600,,HIGH SCHOOL,9-12,374,1,DISTRICT
154,126515001,7231,7280,"FRANKLIN, BENJAMIN SCHOOL",BENJAMIN FRANKLIN SCHOOL,5735 RISING SUN AVE,19120,(215) 400-3760,,ELEMENTARY/MIDDLE,K-8,795,1,DISTRICT
155,126515001,3818,2160,"FURNESS, HORACE HIGH SCHOOL",FURNESS HIGH SCHOOL,1900 S 3RD ST,19148,(215) 400-8300,,HIGH SCHOOL,9-12,717,1,DISTRICT
156,126515001,3625,4530,"GIDEON, EDWARD SCHOOL",EDWARD GIDEON SCHOOL,2817 W GLENWOOD AVE,19121,(215) 400-7360,,ELEMENTARY/MIDDLE,K-8,224,1,DISTRICT
157,126515001,7664,2410,GIRARD ACADEMIC MUSIC PROGRAM,GIRARD ACADEMIC MUSIC PROGRAM,2136 W RITNER ST,19145,(215) 400-8230,,MIDDLE/HIGH,5-12,625,1,DISTRICT
158,126515001,3776,2320,"GIRARD, STEPHEN SCHOOL",STEPHEN GIRARD SCHOOL,1800 SNYDER AVE,19145,(215) 400-8180,,ELEMENTARY SCHOOL,K-4,390,1,DISTRICT
159,126515001,3843,6050,"GIRLS, PHILA HIGH SCHOOL FOR",PHILADELPHIA HIGH SCHOOL FOR GIRLS,1400 W OLNEY AVE,19141,(215) 400-3700,,HIGH SCHOOL,9-12,766,1,DISTRICT
160,126515001,3668,4280,"GOMPERS, SAMUEL SCHOOL",SAMUEL GOMPERS SCHOOL,5701 WYNNEFIELD AVE,19131,(215) 400-7250,,ELEMENTARY/MIDDLE,K-8,289,1,DISTRICT
161,226511652,,,FRIENDS SELECT SCHOOL,FRIENDS SELECT SCHOOL,3 BENJ FRANKLIN PKY,19103,(215) 561-5900,O,ELEMENTARY/MIDDLE/HIGH,PREK-12,,3,PRIVATE
162,300513960,,,GREENE TOWNE SCHOOL INC,GREENE TOWNE SCHOOL INC.,2121 ARCH ST,19103,(215) 563-6368,O,KINDERGARTEN,PREK-K,,3,PRIVATE
163,300514200,,,HMS SCHOOL FOR CHILDREN W/CEREBRAL PALSY,HMS SCHOOL FOR CHILDREN W/CEREBRAL PALSY,4400 BALTIMORE AVE,19104,(215) 222-2566,O,ELEMENTARY/MIDDLE/HIGH,PREK-12,,3,PRIVATE
164,226515462,,,PHILADELPHIA SCHOOL,PHILADELPHIA SCHOOL,2501-29 LOMBARD ST,19146,(215) 545-5323,O,ELEMENTARY/MIDDLE,PREK-8,,3,PRIVATE
165,,,,FREIRE CHARTER SCHOOL,FREIRE CHARTER SCHOOL,1026 MARKET ST,19107,(267) 670-7499,,MIDDLE SCHOOL,5-8,,2,CHARTER
166,,,,PHILADELPHIA PERFORMING ARTS CHARTER SCHOOL,PHILADELPHIA PERFORMING ARTS CHARTER SCHOOL,1600 VINE ST,19102,(267) 428-2224,,MIDDLE/HIGH,5-12,,2,CHARTER
167,226511492,,,EVELYN GRAVES CHRISTIAN ACADEMY,EVELYN GRAVES CHRISTIAN ACADEMY,5501 CHESTER AVE,19143,(215) 727-7794,O,ELEMENTARY/MIDDLE/HIGH,PREK-12,,3,PRIVATE
168,300512620,,,CORNERSTONE CHRISTIAN ACADEMY,CORNERSTONE CHRISTIAN ACADEMY,1939 S 58TH ST,19143,(215) 724-6858,O,ELEMENTARY/MIDDLE,K-8,,3,PRIVATE
169,226511372,,,EAGLES NEST CHRISTIAN SCHOOL,EAGLES NEST CHRISTIAN SCHOOL,501 W KING ST,19144,(215) 298-9508,O,ELEMENTARY/MIDDLE,K-8,,3,PRIVATE
170,226511552,,,FAITH TABERNACLE SCHOOL,FAITH TABERNACLE SCHOOL,3611 N RANDOLPH ST,19140,(215) 221-0909,O,ELEMENTARY/MIDDLE/HIGH,1-12,,3,PRIVATE
171,,,6955,CAMELOT THERAPEUTIC DAY SCHOOL OF PHILADELPHIA,CAMELOT THERAPEUTIC DAY SCHOOL,5612 GREENE ST,19144,(267) 270-4665,O,UNGRADED,9-12,,1,DISTRICT
172,300519410,,,WOODBINE ACADEMY INC,WOODBINE ACADEMY INC,5337 WYNNEFIELD AVE,19131,(215) 878-1141,O,ELEMENTARY SCHOOL,PREK-5,,3,PRIVATE
173,226512842,,,JAMESON CHRISTIAN ACADEMY,JAMESON CHRISTIAN ACADEMY,5301 WYNNEFIELD AVE,19131,(215) 477-7777,O,ELEMENTARY/MIDDLE/HIGH,K-12,,3,PRIVATE
174,226510132,,,AL-AQSA ISLAMIC SCHOOL,AL-AQSA ISLAMIC SCHOOL,1501-11 GERMANTOWN AVE,19122,215) 765-6660,O,ELEMENTARY/MIDDLE/HIGH,K-12,,3,PRIVATE
175,226510682,,,BLAIR CHRISTIAN ACADEMY & PRESCHOOL,BLAIR CHRISTIAN ACADEMY & PRESCHOOL,212-20 W UPSAL ST,19119,(215) 438-6557,O,ELEMENTARY/MIDDLE,PREK-8,,3,PRIVATE
176,226510732,,,CALVARY CHRISTIAN ACADEMY,CALVARY CHRISTIAN ACADEMY,13500 PHILMONT AVE,19116,(215) 969-1579,O,ELEMENTARY/MIDDLE/HIGH,PREK-12,,3,PRIVATE
177,226510932,,,CELESTIAL CHRISTIAN ACADEMY,CELESTIAL CHRISTIAN ACADEMY,2534 W THOMPSON ST,19121,(215) 232-5863,O,ELEMENTARY/MIDDLE,PREK-8,,3,PRIVATE
178,226512022,,,HAROLD O DAVIS CHRISTIAN SCHOOL,HAROLD O DAVIS CHRISTIAN SCHOOL,1001 W WINGOHOCKING ST,19140,(267) 368-5102,O,ELEMENTARY/MIDDLE,PREK-5,,3,PRIVATE
179,226512732,,,INTERNATIONAL CHRISTIAN HIGH SCHOOL,INTERNATIONAL CHRISTIAN HIGH SCHOOL,5500 TABOR AVE,19120,(267) 900-2000,O,HIGH SCHOOL,9-12,,3,PRIVATE
180,300514330,,,POLITZ HEBREW ACADEMY,POLITZ HEBREW ACADEMY,9229 OLD BUSTLETON AVE,19115,(215) 969-5960,O,ELEMENTARY/MIDDLE,K-8,,3,PRIVATE
181,226510023,,,LASALLE ACADEMY,LASALLE ACADEMY,1432-36 N 2ND ST,19122,(215) 739-5804,O,ELEMENTARY/MIDDLE,3-8,,3,PRIVATE
182,226515392,,,QUBA INSTITUTE OF ARABIC & ISLAMIC STUDIES,QUBA INSTITUTE OF ARABIC & ISLAMIC STUDIES,4637 LANCASTER AVE,19131,(215) 473-8589,O,ELEMENTARY/MIDDLE,PREK-8,,3,PRIVATE
183,226515872,,,SHAARE SHAMAYIM-BETH JUDAH KINDERGARTEN,SHAARE SHAMAYIM-BETH JUDAH KINDERGARTEN,9768 VERREE RD,19115,(215) 673-2323,O,PRE-SCHOOL,PREK,,3,PRIVATE
184,226519542,,,TALMUDICAL YESHIVA OF PHILADELPHIA,TALMUDICAL YESHIVA OF PHILA,6055-63 DREXEL RD,19131,(215) 477-1000,O,HIGH SCHOOL,9-12,,3,PRIVATE
185,226514095,,,CITY KIDS,CITY KIDS,2311 S 13TH ST,19148,(215) 334-7440,O,KINDERGARTEN,PREK-K,,3,PRIVATE
186,226510020,,,NEW LIFE ALTERNATIVES CHRISTIAN ACADEMY,NEW LIFE ALTERNATIVES CHRISTIAN ACADEMY,1993-95 N 63RD ST,19151,(215) 877-3440,O,ELEMENTARY SCHOOL,K-4,,3,PRIVATE
187,226511642,,,FIRST CENTURY GOSPEL SCHOOL,FIRST CENTURY GOSPEL SCHOOL,6807 RISING SUN AVE,19111,(215) 742-6615,O,ELEMENTARY/MIDDLE/HIGH,1-10,,3,PRIVATE
188,226512032,,,HOPE CHURCH SCHOOL,HOPE CHURCH SCHOOL,6707 OLD YORK RD,19126,(215) 927-7770,O,ELEMENTARY/MIDDLE/HIGH,PREK-12,,3,PRIVATE
189,226512672,,,HUNTING PARK CHRISTIAN ACADEMY,HUNTING PARK CHRISTIAN ACADEMY,601 W CAYUGA ST,19140,(267) 331-8002,O,ELEMENTARY/MIDDLE,PREK-8,,3,PRIVATE
190,226511132,,,THE CITY SCHOOL,THE CITY SCHOOL,910 N 6TH ST,19103,(215) 731-1930,O,MIDDLE/HIGH,6-12,,3,PRIVATE
191,226514122,,,CREFELD SCHOOL,CREFELD SCHOOL,8836 CREFELD ST,19118,(215) 242-5545,O,MIDDLE/HIGH,7-12,,3,PRIVATE
192,226512042,,,HOLMESBURG CHRISTIAN ACADEMY,HOLMESBURG CHRISTIAN ACADEMY,7923 FRANKFORD AVE,19136,(215) 335-4323,O,ELEMENTARY/MIDDLE,PREK-8,,3,PRIVATE
193,226511702,,,GERMANTOWN FRIENDS SCHOOL,GERMANTOWN FRIENDS SCHOOL,31 W COULTER ST,19144,(215) 951-2300,O,ELEMENTARY/MIDDLE/HIGH,K-12,,3,PRIVATE
194,226511952,,,GREENE STREET FRIENDS SCHOOL,GREENE STREET FRIENDS SCHOOL,5511 GREENE ST,19144,(215) 438-7000,O,ELEMENTARY/MIDDLE,PREK-8,,3,PRIVATE
195,300517255,,,WALDORF SCHOOL OF PHILADELPHIA,WALDORF SCHOOL OF PHILADELPHIA,6000 WAYNE AVE,19144,(215) 248-1662,O,ELEMENTARY/MIDDLE,PREK-8,,3,PRIVATE
196,300518770,,,BIG BACKYARD,BIG BACKYARD,226 E GOWEN AVE,19119,(215) 248-0919,O,PRE-SCHOOL,PREK,,3,PRIVATE
197,226510019,,,JESUS IS THE WAY CHRISTIAN ACADEMY,JESUS IS THE WAY CHRISTIAN ACADEMY,6753 GERMANTOWN AVE,19119,(267) 970-9779,O,UNGRADED,PREK-8,,3,PRIVATE
198,300512880,,,COOPERATIVE NURSERY SCHOOL,COOPERATIVE NURSERY SCHOOL,6509 LINCOLN DR,19119,(215) 844-5770,O,PRE-SCHOOL,PREK,,3,PRIVATE
199,326510174,,,"CHESTERBROOK ACADEMY
",CHESTERBROOK ACADEMY,510 WALNUT ST,19106,(215) 592-8257,O,PRE-SCHOOL,PRE-SCHOOL,,3,PRIVATE
200,326510169,,,CLARKE SCHOOLS FOR HEARING AND SPEECH,"CLARKE PENNSYLVANIA, INC.",625 WISTER STREET,19144,(267) 385-3436,O,PRE-SCHOOL,PREK-K,,3,PRIVATE
201,226510085,,,COMPUTER KIDZ CHRISTIAN ACADEMY,COMPUTER KIDZ,2243-57 N. 20TH ST,19132,(215) 235-1230,O,PRE-SCHOOL,PRE-SCHOOL,,3,PRIVATE
202,226510080,,,CRISTO REY PHILADELPHIA HIGH SCHOOL,CRISTO REY PHILADELPHIA HIGH SCHOOL,5218 N BROAD ST,19141,(215) 219-3943,O,HIGH SCHOOL,9-12,,3,ARCHDIOCESE
203,226510088,,,EDUCATION NATION CHRISTIAN ACADEMY,EDUCATION NATION CHRISTIAN ACADEMY,13 E MOUNT PLEASANT AVE,19119,(267) 408-1209,O,,,,3,PRIVATE
204,300513890,,,GREEN TREE SCHOOL,GREEN TREE,1196 E WASHINGTON LN,19138,(215) 866-0200,O,SPECIAL CENTER,UNGRADED,,3,PRIVATE
205,226510083,,,"IN THE BEGINNING, INC.",IN THE BEGINNING,5200 WYNNEFIELD AVENUE,19131,(215) 878-4034,O,KINDERGARTEN,PREK-K,,3,PRIVATE
206,226510081,,,OLNEY CHRISTIAN SCHOOL,OLNEY CHRISTIAN SCHOOL,425 E. ROOSEVELT BLVD,19120,(215) 324-1186,O,ELEMENTARY SCHOOL,K-8,,3,PRIVATE
207,226511502,,,OUR LADY OF HOPE REGIONAL CATHOLIC SCHOOL,OUR LADY OF HOPE,1248 JACKSON STREET,19148,(215) 467-5385,O,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE
208,226510086,,,PHILADELPHIA CLASSICAL SCHOOL,PHILADELPHIA CLASSICAL SCHOOL,1636 SANSOM ST,19103,(412) 915-5510,O,ELEMENTARY/MIDDLE,K-8,,3,PRIVATE
209,226510071,,,PHILADELPHIA FREE SCHOOL,PHILADELPHIA FREE SCHOOL,801 S 48TH ST,19143,(215) 218-9586,O,ELEMENTARY/MIDDLE/HIGH,PREK-12,,3,PRIVATE
210,226500000,,,SCHOOL OF FAITH IN GOD,FAITH IN GOD,1680-82 BRIDGE STREET,19124,(215) 833-7613,O,ELEMENTARY/MIDDLE/HIGH,K-12,,3,PRIVATE
211,226510067,,,SMART CENTER ACADEMY,SMART CENTER ACADEMY,3301-33 W. WESTMORELAND ST,19129,(610) 742-2804,O,PRE-SCHOOL,PRE-SCHOOL,,3,PRIVATE
212,226519042,,,ST ANTHONY OF PADUA REGIONAL CATHOLIC SCHOOL,ST ANTHONY OF PADUA REGIONAL CATHOLIC SCHOOL,913 PIERCE ST,19148,(215) 468-0353,O,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE
213,226510054,,,GAN CHABAD,GAN CHABAD,7620 CASTOR AVE,19152,(215)695-0399,O,KINDERGARTEN,PREK-K,,3,PRIVATE
214,126515001,7904,2620,ACADEMY AT PALUMBO,ACADEMY AT PALUMBO,1100 CATHARINE ST,19147,(215) 400-8130,,HIGH SCHOOL,9-12,1057,1,DISTRICT
215,126515001,7256,5200,"ADAIRE, ALEXANDER SCHOOL",ALEXANDER ADAIRE SCHOOL,1300 E PALMER ST,19125,(215) 400-7480,,ELEMENTARY/MIDDLE,K-8,447,1,DISTRICT
216,126515001,5292,4440,"ALLEN, DR. ETHEL SCHOOL",DR. ETHEL ALLEN SCHOOL,3200 W LEHIGH AVE,19132,(215) 400-7040,,ELEMENTARY/MIDDLE,K-8,467,1,DISTRICT
217,126515001,3758,8200,"ALLEN, ETHAN SCHOOL",ETHAN ALLEN SCHOOL ,6329 BATTERSBY ST,19149,(215) 400-3270,,ELEMENTARY/MIDDLE,K-8,982,1,DISTRICT
218,126515001,6823,5430,AMY 5 AT JAMES MARTIN,ALTERNATIVE MIDDLE YEARS AT JAMES MARTIN ,3380 RICHMOND ST,19134,(215) 400-7190,,MIDDLE SCHOOL,6-8,425,1,DISTRICT
219,126515001,7024,6480,AMY NORTHWEST,ACADEMY FOR THE MIDDLE YEARS AT NORTHWEST,6000 RIDGE AVE,19128,(215) 400-3460,,MIDDLE SCHOOL,6-8,319,1,DISTRICT
220,126515001,3804,1460,"ANDERSON, ADD B. SCHOOL",ADD B. ANDERSON SCHOOL,1034 S 60TH ST,19143,(215) 400-7890,,ELEMENTARY/MIDDLE,K-8,464,1,DISTRICT
221,126515001,3805,2480,"ARTHUR, CHESTER A. SCHOOL",CHESTER A. ARTHUR SCHOOL,2000 CATHARINE ST,19146,(215) 400-7940,,ELEMENTARY/MIDDLE,K-8,290,1,DISTRICT
222,126515001,8039,8040,ARTS ACADEMY AT BENJAMIN RUSH,ARTS ACADEMY AT BENJAMIN RUSH,11081 KNIGHTS RD,19154,(215) 400-3030,,HIGH SCHOOL,9-12,647,1,DISTRICT
223,126515001,3618,2210,BACHE-MARTIN SCHOOL,BACHE-MARTIN SCHOOL,2201 BROWN ST,19130,(215) 400-7550,,ELEMENTARY/MIDDLE,K-8,453,1,DISTRICT
224,126515001,6824,8160,BALDI MIDDLE SCHOOL,BALDI SCHOOL,8801 VERREE RD,19115,(215) 400-3090,,MIDDLE SCHOOL,6-8,1501,1,DISTRICT
225,126515001,8029,1200,"BARRY, JOHN ELEMENTARY SCHOOL",JOHN BARRY SCHOOL,5900 RACE ST,19139,(215) 400-7640,,ELEMENTARY/MIDDLE,K-8,574,1,DISTRICT
226,126515001,3732,7200,BARTON SCHOOL,CLARA BARTON SCHOOL,4600 ROSEHILL ST,19120,(215) 400-3720,,ELEMENTARY SCHOOL,K-2,640,1,DISTRICT
227,126515001,3847,1010,"BARTRAM, JOHN HIGH SCHOOL",JOHN BARTRAM HIGH SCHOOL,2401 S 67TH ST,19142,(215) 400-8100,,HIGH SCHOOL,9-12,545,1,DISTRICT
228,126515001,5183,7510,"BETHUNE, MARY MCLEOD SCHOOL",MARY M. BETHUNE SCHOOL,3301 OLD YORK RD,19140,(215) 400-3890,,ELEMENTARY/MIDDLE,K-8,570,1,DISTRICT
229,126515001,3662,4220,"BLAINE, JAMES G. SCHOOL",JAMES G. BLAINE SCHOOL,3001 W BERKS ST,19121,(215) 400-7330,,ELEMENTARY/MIDDLE,K-8,407,1,DISTRICT
230,126515001,3663,1490,"BLANKENBURG, RUDOLPH SCHOOL",RUDOLPH BLANKENBURG SCHOOL,4600 W GIRARD AVE,19131,(215) 400-7280,,ELEMENTARY/MIDDLE,K-8,397,1,DISTRICT
231,126515001,7070,5150,"BODINE, WILLIAM W. HIGH SCHOOL",WILLIAM W. BODINE HIGH SCHOOL,1101 N 4TH ST,19123,(215) 400-7630,,HIGH SCHOOL,9-12,601,1,DISTRICT
232,126515001,3620,2240,"BREGY, F. AMEDEE SCHOOL",F. AMEDEE BREGY SCHOOL,1700 BIGLER ST,19145,(215) 400-8210,,ELEMENTARY/MIDDLE,K-8,324,1,DISTRICT
233,126515001,3745,7470,BRIDESBURG SCHOOL,BRIDESBURG SCHOOL,2824 JENKS ST,19137,(215) 400-7240,,ELEMENTARY/MIDDLE,K-8,789,1,DISTRICT
234,126515001,3684,5210,"BROWN, HENRY A. SCHOOL",HENRY A. BROWN SCHOOL,1946 E SERGEANT ST,19125,(215) 400-7490,,ELEMENTARY/MIDDLE,K-8,397,1,DISTRICT
235,126515001,6529,8210,"BROWN, JOSEPH H. SCHOOL",JOSEPH H. BROWN SCHOOL,3600 STANWOOD ST,19136,(215) 400-3320,,ELEMENTARY SCHOOL,K-6,597,1,DISTRICT
236,126515001,3601,1230,"BRYANT, WILLIAM C. SCHOOL",WILLIAM C. BRYANT SCHOOL,6001 CEDAR AVE,19143,(215) 400-7910,,ELEMENTARY/MIDDLE,K-8,424,1,DISTRICT
237,126515001,8332,5610,BUILDING 21,BUILDING 21,6501 LIMEKILN PIKE,19138,(215) 400-7450,,HIGH SCHOOL,9-12,349,1,DISTRICT
238,126515001,7230,7220,"CARNELL, LAURA H. SCHOOL",LAURA H. CARNELL SCHOOL,1100 DEVEREAUX AVE,19111,(215) 400-3150,,ELEMENTARY SCHOOL,K-5,847,1,DISTRICT
239,126515001,3664,4240,"CASSIDY,LEWIS C ACADEMICS PLUS",LEWIS C. CASSIDY ACADEMICS PLUS SCHOOL,6523 LANSDOWNE AVE,19151,(215) 400-7510,,ELEMENTARY/MIDDLE,K-8,415,1,DISTRICT
240,126515001,3602,1250,"CATHARINE, JOSEPH SCHOOL",JOSEPH W. CATHARINE SCHOOL,6600 CHESTER AVE,19142,(215) 400-8150,,ELEMENTARY SCHOOL,K-5,456,1,DISTRICT
241,126515001,7404,5490,CAYUGA SCHOOL,CAYUGA SCHOOL,4344 N 5TH ST,19140,(215) 400-3850,,ELEMENTARY SCHOOL,K-5,428,1,DISTRICT
242,126515001,3848,6010,CENTRAL HIGH SCHOOL,CENTRAL HIGH SCHOOL,1700 W OLNEY AVE,19141,(215) 400-3590,,HIGH SCHOOL,9-12,2411,1,DISTRICT
243,126515001,3622,2260,"CHILDS, GEORGE W. SCHOOL",GEORGE W. CHILDS SCHOOL,1599 WHARTON ST,19146,(215) 400-7950,,ELEMENTARY/MIDDLE,K-8,508,1,DISTRICT
244,126515001,6767,7730,"CLEMENTE, ROBERTO MIDDLE SCHOOL",ROBERTO CLEMENTE SCHOOL,122 W ERIE AVE,19140,(215) 400-3930,,MIDDLE SCHOOL,6-8,386,1,DISTRICT
245,126515001,3782,1260,"COMEGYS, BENJAMIN B. SCHOOL",BENJAMIN B. COMEGYS SCHOOL,5100 GREENWAY AVE,19143,(215) 400-7860,,ELEMENTARY/MIDDLE,K-8,466,1,DISTRICT
246,126515001,3760,8370,"COMLY, WATSON SCHOOL",WATSON COMLY SCHOOL,1001 BYBERRY RD,19116,(215) 400-3010,,ELEMENTARY SCHOOL,K-5,511,1,DISTRICT
247,126515001,3629,2370,"MCDANIEL, DELAPLAINE SCHOOL",DELAPLAINE MCDANIEL SCHOOL,1801 S 22ND ST,19145,(215) 400-8220,,ELEMENTARY/MIDDLE,K-8,352,1,DISTRICT
248,126515001,5293,5350,"MCKINLEY, WILLIAM SCHOOL",WILLIAM MCKINLEY SCHOOL,2101 N ORKNEY ST,19122,(215) 400-7440,,ELEMENTARY/MIDDLE,K-8,413,1,DISTRICT
249,126515001,3630,4570,"MEADE, GEN. GEORGE G. SCHOOL",GENERAL GEORGE G. MEADE SCHOOL,1600 N 18TH ST,19121,(215) 400-7310,,ELEMENTARY/MIDDLE,K-8,344,1,DISTRICT
250,126515001,6768,8140,"MEEHAN, AUSTIN MIDDLE SCHOOL",AUSTIN MEEHAN SCHOOL,3001 RYAN AVE,19152,(215) 400-3240,,MIDDLE SCHOOL,7-8,662,1,DISTRICT
251,126515001,3649,2380,"MEREDITH, WILLIAM M. SCHOOL",WILLIAM M. MEREDITH SCHOOL,725 S 5TH ST,19147,(215) 400-7990,,ELEMENTARY/MIDDLE,K-8,538,1,DISTRICT
252,126515001,3720,6320,"MIFFLIN, THOMAS SCHOOL",THOMAS MIFFLIN SCHOOL,3624 CONRAD ST,19129,(215) 400-3830,,ELEMENTARY/MIDDLE,K-8,332,1,DISTRICT
253,126515001,3798,1370,MITCHELL ELEMENTARY SCHOOL,S. WEIR MITCHELL SCHOOL,5500 KINGSESSING AVE,19143,(215) 400-7880,,ELEMENTARY/MIDDLE,K-8,465,1,DISTRICT
